0;1;2;3;4;5;6;7;8;9;10
Reitoria;Resolução;23;2018;15/08/2018;Aprova o Regimento Interno do Polo de Inovação Vitória.;https://ifes.edu.br/images/stories/-publicacoes/conselhos-comissoes/conselho-superior/2018/Res_CS_23_2018_-_Regimento_Interno_do_Polo_de_Inova%C3%A7%C3%A3o_Vit%C3%B3ria.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;31;2018;23/11/2018;Aprova a Regulamento da Comissão Interna de Supervisão do Instituto Federal do Espírito Santo - Ifes;https://ifes.edu.br/images/stories/-publicacoes/conselhos-comissoes/conselho-superior/2018/Res_CS_31_2018_-_Aprova_Regulamento_da_Comiss%C3%A3o_Interna_de_Supervis%C3%A3o_do_Ifes_-_Revisada.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;44;2018;06/04/2018;Aprova o Regimento Interno do Conselho de Gestão do Campus Cariacica;https://ifes.edu.br/images/stories/-publicacoes/conselhos-comissoes/conselho-superior/2018/Res_CS_44_2018_-_Aprova_altera%C3%A7%C3%A3o_Regimento_Conselho_Gest%C3%A3o_campus_Cariacica.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;Revogada pela Resolução 03/2020
Reitoria;Resolução;45;2018;30/11/2018;Aprova o Regimento Interno do Conselho de Gestão do Campus de Alegre;https://ifes.edu.br/images/stories/-publicacoes/conselhos-comissoes/conselho-superior/2018/Res_CS_45_2018_-_Aprova_altera%C3%A7%C3%A3o_Regimento_Conselho_Gest%C3%A3o_campus_Alegre.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;Revogada pela Resolução 03/2020
Reitoria;Resolução;47;2018;17/12/2018;Estabelecer, horário especial de funcionamento na Reitoria do Ifes, das 7 às 13 horas, no período de 7 de janeiro de 2019 a 1 de fevereiro de 2019;https://ifes.edu.br/images/stories/-publicacoes/conselhos-comissoes/conselho-superior/2018/Res_CS_47_2018_-_Hor%C3%A1rio_especial_de_funcionamento_janeiro_2019.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;50;2018;17/12/2018;Alterar a Resolução CS nº 20/2018 que homologou o Regulamento da CPA – Comissão Própria de Avaliação;https://ifes.edu.br/images/stories/-publicacoes/conselhos-comissoes/conselho-superior/2018/Res_CS_50_2018_-Altera_Res_CS_20_2018_Regulamento_CPA.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;2;2019;11/03/2019;Altera a Resolução CS nº 160/2016 que aprova o Regimento Interno que disciplina a organização e o funcionamento dos campi;https://ifes.edu.br/images/stories/Res_CS_2_2019_-_Altera_a_Res_CS_160_2016.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;4;2019;22/04/2019;Normatiza a permissão de uso e a administração dos imóveis residenciais pertencentes ao patrimônio do Ifes.;https://ifes.edu.br/images/stories/Res_CS_4_2019_-_Normatiza_a_permiss%C3%A3o_de_uso_de_imoveis_residenciais_do_Ifes_2.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;7;2019;22/04/2019;Altera a Resolução CS nº 17/2015 que aprova o Regulamento da Auditoria Interna do Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo;https://ifes.edu.br/images/stories/Res_CS_7_2019_-_Altera_a_Res_CS_17_2015.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;Audin
Reitoria;Resolução;8;2019;31/05/2019;Altera Resolução CS nº 30/2012 que aprovou o Regimento Interno do Conselho de Gestão do Campus Piúma.;https://ifes.edu.br/images/stories/Res_CS_8_2019_-_Altera_Resolu%C3%A7%C3%A3o__CS_n%C2%BA_30_2012_-_Conselho_de_Gest%C3%A3o_do_Campus_Piuma.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
